bank_reference,narration,settlement_amount,currency,posting_date,counterparty,fee
BANK-A01,PAY-10001,5000.00,INR,2025-01-17,,
BANK-A02,REF-992,-1500.00,INR,2025-01-18,,
BANK-A03,pay-1001,2000.00,INR,2025-01-17,,
BANK-A04,PAY_abc123,2100.00,INR,2025-01-17,,
BANK-A05,EXT-8882,3450.00,INR,2025-01-22,ACME Corp,
BANK-A06,X112233,4400.00,INR,2025-01-23,Globex,
BANK-A07,PAY-A07,5000.00,INR,2025-01-17,,
BANK-A08,PAY-A08,150000.50,INR,2025-01-17,,
BANK-B01,PAY-B01,999.50,INR,2025-01-17,,
BANK-B02,PAY-B02,999.01,INR,2025-01-17,,
BANK-B03,PAY-B03,998.50,INR,2025-01-17,,1.50
BANK-B04,PAY-B04,980.00,INR,2025-01-17,,20.00
BANK-B05,PAY-B05,1000.00,INR,2025-01-15,,
BANK-B06,PAY-B06,1000.00,INR,2025-01-17,,
BANK-B07,PAY-B07,1000.00,INR,2025-01-20,,
BANK-B08,PAY-B08,12000.00,INR,2025-01-20,,
BANK-C01-1,,6000.00,INR,2025-02-03,,
BANK-C01-2,,4000.00,INR,2025-02-03,,
BANK-C02-1,,5000.00,INR,2025-02-03,,
BANK-C02-2,,3000.00,INR,2025-02-03,,
BANK-C02-3,,2000.00,INR,2025-02-03,,
BANK-C03,,10000.00,INR,2025-02-12,,
BANK-C04,,10000.00,INR,2025-02-12,,
BANK-C05-1,,6000.00,INR,2025-02-03,,
BANK-C05-2,,3999.00,INR,2025-02-03,,
BANK-C06,,9998.50,INR,2025-02-12,,
BANK-ORPH-001,ORPHAN-ENTRY,2200.00,INR,2025-03-05,,
BANK-D04,,15.00,INR,2025-03-05,,
BANK-D05,PAY-D05,1000.00,USD,2025-03-03,,
BANK-D06,PAY-D06,6000.00,INR,2025-03-03,,
BANK-D09,PAY-D09,1200.00,INR,2025-03-03,,
BANK-E01-1,,9237.00,INR,2025-02-03,,
BANK-E01-2,,5763.00,INR,2025-02-03,,
BANK-E02a,,10000.00,INR,2025-01-17,,
BANK-E02b,,10001.00,INR,2025-01-18,,
BANK-E03,BANK-E03-TRG,5000.00,INR,2025-01-17,,
BANK-D03,BANK-D03-DEC,5000.00,INR,2025-01-18,,
BANK-E04,PAY-E04,1000.00,INR,2025-03-08,,
BANK-E05,PAY-E05,1200.00,INR,2025-03-12,,
BANK-E06-1,,6000.00,INR,2025-03-12,,
BANK-E06-2,,2500.00,INR,2025-03-13,,
