payment_id,merchant_txn_ref,amount,currency,created_at,merchant_name,gross_amount,fee,net_amount
GTW-A01,PAY-10001,5000.00,INR,2025-01-15,,,,
GTW-A02,REF-992,-1500.00,INR,2025-01-16,,,,
GTW-A03,PAY-1001,2000.00,INR,2025-01-15,,,,
GTW-A04,pay_ABC123,2100.00,INR,2025-01-15,,,,
GTW-A05,INT-9991,3450.00,INR,2025-01-20,ACME Corp,,,
GTW-A06,T-112233,4400.00,INR,2025-01-21,Globex,,,
GTW-A07,PAY-A07,5000.00,INR,2025-01-15,,5100.00,100.00,5000.00
GTW-A08,PAY-A08,150000.50,INR,2025-01-15,,,,
GTW-B01,PAY-B01,1000.00,INR,2025-01-15,,,,
GTW-B02,PAY-B02,1000.00,INR,2025-01-15,,,,
GTW-B03,PAY-B03,1000.00,INR,2025-01-15,,,,
GTW-B04,PAY-B04,1000.00,INR,2025-01-15,,1000.00,20.00,980.00
GTW-B05,PAY-B05,1000.00,INR,2025-01-15,,,,
GTW-B06,PAY-B06,1000.00,INR,2025-01-15,,,,
GTW-B07,PAY-B07,1000.00,INR,2025-01-15,,,,
GTW-B08,PAY-B08,12000.00,INR,2025-01-10,,,,
GTW-C01,,10000.00,INR,2025-02-01,,,,
GTW-C02,,10000.00,INR,2025-02-01,,,,
GTW-C03-1,,3000.00,INR,2025-02-10,,,,
GTW-C03-2,,7000.00,INR,2025-02-10,,,,
GTW-C04-1,,2000.00,INR,2025-02-10,,,,
GTW-C04-2,,3000.00,INR,2025-02-10,,,,
GTW-C04-3,,5000.00,INR,2025-02-10,,,,
GTW-C05,,10000.00,INR,2025-02-01,,,,
GTW-C06-1,,3000.00,INR,2025-02-10,,,,
GTW-C06-2,,7000.00,INR,2025-02-10,,,,
GTW-D01,,8500.00,INR,2025-03-01,,,,
GTW-D02,,8500.00,INR,2025-10-01,,,,
GTW-D05,PAY-D05,1000.00,INR,2025-03-01,,,,
GTW-D06,PAY-D06,10000.00,INR,2025-03-01,,,,
GTW-D07,PAY-10001,5000.00,INR,2025-01-15,,,,
GTW-D08,PAY-10001-B,5000.00,INR,2025-01-16,,,,
GTW-D09,PAY-D09,1000.00,INR,2025-03-01,,,,
GTW-E01,,15000.00,INR,2025-02-01,,,,
GTW-E02a,,10000.00,INR,2025-01-15,,,,
GTW-E02b,,10001.00,INR,2025-01-15,,,,
GTW-E03,PAY-E03-GTW,5000.00,INR,2025-01-15,,,,
GTW-E04,PAY-E04,1000.00,INR,2025-03-10,,,,
GTW-E05,PAY-E05,1000.00,INR,2025-03-10,,,,
GTW-E06,,10000.00,INR,2025-03-10,,,,
